=============LOG START=============
clock_rate = 2
[Internal event], [System time]: 2023-03-06 20:13:18.935757, [Logical Clock Time]: 1
[Receive]: 3, [System time]: 2023-03-06 20:13:19.436282, [Message Queue Length]: 0, [Logical Clock Time]: 4
[Receive]: 5, [System time]: 2023-03-06 20:13:19.936810, [Message Queue Length]: 0, [Logical Clock Time]: 6
[Receive]: 9, [System time]: 2023-03-06 20:13:20.437348, [Message Queue Length]: 0, [Logical Clock Time]: 10
[Receive]: 12, [System time]: 2023-03-06 20:13:20.937906, [Message Queue Length]: 0, [Logical Clock Time]: 13
[Internal event], [System time]: 2023-03-06 20:13:21.438186, [Logical Clock Time]: 14
[Receive]: 17, [System time]: 2023-03-06 20:13:21.938735, [Message Queue Length]: 1, [Logical Clock Time]: 18
[Receive]: 18, [System time]: 2023-03-06 20:13:22.439206, [Message Queue Length]: 0, [Logical Clock Time]: 19
[Receive]: 24, [System time]: 2023-03-06 20:13:22.939749, [Message Queue Length]: 0, [Logical Clock Time]: 25
[Receive]: 25, [System time]: 2023-03-06 20:13:23.440305, [Message Queue Length]: 1, [Logical Clock Time]: 26
[Receive]: 27, [System time]: 2023-03-06 20:13:23.940887, [Message Queue Length]: 0, [Logical Clock Time]: 28
[Receive]: 32, [System time]: 2023-03-06 20:13:24.441474, [Message Queue Length]: 0, [Logical Clock Time]: 33
[Receive]: 35, [System time]: 2023-03-06 20:13:24.942048, [Message Queue Length]: 0, [Logical Clock Time]: 36
[Internal event], [System time]: 2023-03-06 20:13:25.442610, [Logical Clock Time]: 37
[Internal event], [System time]: 2023-03-06 20:13:25.943204, [Logical Clock Time]: 38
[Internal event], [System time]: 2023-03-06 20:13:26.443785, [Logical Clock Time]: 39
[Receive]: 45, [System time]: 2023-03-06 20:13:26.944328, [Message Queue Length]: 1, [Logical Clock Time]: 46
[Receive]: 46, [System time]: 2023-03-06 20:13:27.444901, [Message Queue Length]: 2, [Logical Clock Time]: 47
[Receive]: 49, [System time]: 2023-03-06 20:13:27.945468, [Message Queue Length]: 1, [Logical Clock Time]: 50
[Receive]: 52, [System time]: 2023-03-06 20:13:28.446057, [Message Queue Length]: 1, [Logical Clock Time]: 53
[Receive]: 56, [System time]: 2023-03-06 20:13:28.946646, [Message Queue Length]: 1, [Logical Clock Time]: 57
[Receive]: 61, [System time]: 2023-03-06 20:13:29.447215, [Message Queue Length]: 1, [Logical Clock Time]: 62
[Receive]: 64, [System time]: 2023-03-06 20:13:29.947766, [Message Queue Length]: 1, [Logical Clock Time]: 65
[Receive]: 67, [System time]: 2023-03-06 20:13:30.448332, [Message Queue Length]: 0, [Logical Clock Time]: 68
[Receive]: 74, [System time]: 2023-03-06 20:13:30.948892, [Message Queue Length]: 0, [Logical Clock Time]: 75
[Receive]: 73, [System time]: 2023-03-06 20:13:31.449248, [Message Queue Length]: 1, [Logical Clock Time]: 76
[Receive]: 77, [System time]: 2023-03-06 20:13:31.949800, [Message Queue Length]: 1, [Logical Clock Time]: 78
[Receive]: 79, [System time]: 2023-03-06 20:13:32.450386, [Message Queue Length]: 1, [Logical Clock Time]: 80
[Receive]: 83, [System time]: 2023-03-06 20:13:32.950952, [Message Queue Length]: 0, [Logical Clock Time]: 84
[Receive]: 87, [System time]: 2023-03-06 20:13:33.451557, [Message Queue Length]: 0, [Logical Clock Time]: 88
[Receive]: 90, [System time]: 2023-03-06 20:13:33.952125, [Message Queue Length]: 2, [Logical Clock Time]: 91
[Receive]: 89, [System time]: 2023-03-06 20:13:34.452682, [Message Queue Length]: 2, [Logical Clock Time]: 92
[Receive]: 92, [System time]: 2023-03-06 20:13:34.953270, [Message Queue Length]: 3, [Logical Clock Time]: 93
[Receive]: 93, [System time]: 2023-03-06 20:13:35.453854, [Message Queue Length]: 3, [Logical Clock Time]: 94
