=============LOG START=============
clock_rate = 5
[Send]: 1, [System time]: 2023-03-06 20:22:51.310398, [Logical Clock Time]: 1
[Send]: 2, [System time]: 2023-03-06 20:22:51.510732, [Logical Clock Time]: 2
[Send]: 3, [System time]: 2023-03-06 20:22:51.711036, [Logical Clock Time]: 3
[Internal event], [System time]: 2023-03-06 20:22:51.911192, [Logical Clock Time]: 4
[Send]: 5, [System time]: 2023-03-06 20:22:52.111557, [Logical Clock Time]: 5
[Internal event], [System time]: 2023-03-06 20:22:52.311732, [Logical Clock Time]: 6
[Internal event], [System time]: 2023-03-06 20:22:52.511991, [Logical Clock Time]: 7
[Internal event], [System time]: 2023-03-06 20:22:52.712253, [Logical Clock Time]: 8
[Internal event], [System time]: 2023-03-06 20:22:52.912604, [Logical Clock Time]: 9
[Internal event], [System time]: 2023-03-06 20:22:53.112871, [Logical Clock Time]: 10
[Send]: 11, [System time]: 2023-03-06 20:22:53.313430, [Logical Clock Time]: 11
[Internal event], [System time]: 2023-03-06 20:22:53.513457, [Logical Clock Time]: 12
[Receive]: 11, [System time]: 2023-03-06 20:22:53.713755, [Message Queue Length]: 0, [Logical Clock Time]: 13
[Send]: 14, [System time]: 2023-03-06 20:22:53.914110, [Logical Clock Time]: 14
[Send]: 15, [System time]: 2023-03-06 20:22:54.114360, [Logical Clock Time]: 15
[Internal event], [System time]: 2023-03-06 20:22:54.314585, [Logical Clock Time]: 16
[Receive]: 16, [System time]: 2023-03-06 20:22:54.514998, [Message Queue Length]: 0, [Logical Clock Time]: 17
[Send]: 18, [System time]: 2023-03-06 20:22:54.715660, [Logical Clock Time]: 18
[Internal event], [System time]: 2023-03-06 20:22:54.915825, [Logical Clock Time]: 19
[Internal event], [System time]: 2023-03-06 20:22:55.116106, [Logical Clock Time]: 20
[Internal event], [System time]: 2023-03-06 20:22:55.316348, [Logical Clock Time]: 21
[Internal event], [System time]: 2023-03-06 20:22:55.516610, [Logical Clock Time]: 22
[Send]: 23, [System time]: 2023-03-06 20:22:55.717099, [Logical Clock Time]: 23
[Internal event], [System time]: 2023-03-06 20:22:55.917235, [Logical Clock Time]: 24
[Receive]: 25, [System time]: 2023-03-06 20:22:56.117524, [Message Queue Length]: 0, [Logical Clock Time]: 26
[Internal event], [System time]: 2023-03-06 20:22:56.317773, [Logical Clock Time]: 27
[Internal event], [System time]: 2023-03-06 20:22:56.518145, [Logical Clock Time]: 28
[Internal event], [System time]: 2023-03-06 20:22:56.718407, [Logical Clock Time]: 29
[Send]: 30, [System time]: 2023-03-06 20:22:56.918819, [Logical Clock Time]: 30
[Send]: 31, [System time]: 2023-03-06 20:22:57.119120, [Logical Clock Time]: 31
[Internal event], [System time]: 2023-03-06 20:22:57.319237, [Logical Clock Time]: 32
[Internal event], [System time]: 2023-03-06 20:22:57.519522, [Logical Clock Time]: 33
[Internal event], [System time]: 2023-03-06 20:22:57.719787, [Logical Clock Time]: 34
[Internal event], [System time]: 2023-03-06 20:22:57.920043, [Logical Clock Time]: 35
[Send]: 36, [System time]: 2023-03-06 20:22:58.120415, [Logical Clock Time]: 36
